feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum
1,inst-109-123,model,0,0,4.59,0,0,10.8829,0,259472,yes,../wrapper.py 109 109 123 random -k_middle 16 -k_delta 15 -l_middle 38 -l_delta 22 -n_middle 24 -n_delta 14,809c61f0fc4b71c30da822c2b9f2d41c
1,inst-119-123,model,0,0,5.257,0,0,164.98,0,5489288,yes,../wrapper.py 119 119 123 random -k_middle 10 -k_delta 10 -l_middle 32 -l_delta 13 -n_middle 33 -n_delta 18,2bb57e24c894e544147a1b7a7baec05e
1,inst-125-123,model,0,0,4.308,0,0,12.0082,0,327590,yes,../wrapper.py 125 125 123 random -k_middle 17 -k_delta 13 -l_middle 40 -l_delta 1 -n_middle 35 -n_delta 23,2a97750fc2adb7e355d61b90bb8ff8c7
1,inst-154-123,model,0,0,4.525,0,0,115.861,0,3431040,yes,../wrapper.py 154 154 123 random -k_middle 20 -k_delta 7 -l_middle 41 -l_delta 1 -n_middle 19 -n_delta 21,d8f0aa263db29e10a7d5c302499e237b
1,inst-16-123,model,0,0,3.807,0,0,11.3909,0,660288,yes,../wrapper.py 16 16 123 random -k_middle 7 -k_delta 16 -l_middle 18 -l_delta 16 -n_middle 17 -n_delta 4,06a58a9c2ce04cb6e66eabd3fca9ec01
1,inst-181-123,model,0,0,6.898,0,0,88.5073,0,1187350,yes,../wrapper.py 181 181 123 random -k_middle 20 -k_delta 4 -l_middle 16 -l_delta 10 -n_middle 38 -n_delta 6,7e9a4a4c6253fef6ec02bfa3d38df152
1,inst-210-123,model,0,0,10.169,0,0,24.4782,0,120499,yes,../wrapper.py 210 210 123 random -k_middle 8 -k_delta 21 -l_middle 5 -l_delta 6 -n_middle 50 -n_delta 14,1d25509d71c2dfa78862275b7cb1ff4c
1,inst-231-123,model,0,0,6.844,0,0,163.751,0,2482069,yes,../wrapper.py 231 231 123 random -k_middle 24 -k_delta 8 -l_middle 45 -l_delta 1 -n_middle 45 -n_delta 4,0eb21247da7ff4408439ba08bc322984
1,inst-232-123,model,0,0,11.898,0,0,231.384,0,1088549,yes,../wrapper.py 232 232 123 random -k_middle 11 -k_delta 21 -l_middle 4 -l_delta 5 -n_middle 50 -n_delta 16,d74c986f92a3d13b03e1c3d9bbd85f73
1,inst-268-123,model,0,0,6.418,0,0,21.3578,0,357825,yes,../wrapper.py 268 268 123 random -k_middle 13 -k_delta 20 -l_middle 41 -l_delta 1 -n_middle 44 -n_delta 3,2b4f0086c064d8015958f978d40f9bda
1,inst-327-123,model,0,0,8.531,0,0,19.5202,0,233759,yes,../wrapper.py 327 327 123 random -k_middle 19 -k_delta 19 -l_middle 28 -l_delta 3 -n_middle 50 -n_delta 6,a7fca63bd5b9dd6ae518cf08225db953
1,inst-341-123,model,0,0,8.604,0,0,22.0051,0,339350,yes,../wrapper.py 341 341 123 random -k_middle 22 -k_delta 4 -l_middle 22 -l_delta 19 -n_middle 46 -n_delta 22,ad7c8d55f88f656847ec783d6ace9ba3
1,inst-356-123,model,0,0,7.193,0,0,21.7129,0,241178,yes,../wrapper.py 356 356 123 random -k_middle 9 -k_delta 9 -l_middle 7 -l_delta 3 -n_middle 34 -n_delta 14,8c07f6064929fbaa430afb3118bd49b3
1,inst-358-123,model,0,0,5.416,0,0,281.259,0,10622541,yes,../wrapper.py 358 358 123 random -k_middle 18 -k_delta 1 -l_middle 8 -l_delta 2 -n_middle 15 -n_delta 9,37714c221da9dcd7c8e342e5ac903bbe
1,inst-389-123,model,0,0,9.498,0,0,10.8512,0,54324,yes,../wrapper.py 389 389 123 random -k_middle 13 -k_delta 13 -l_middle 2 -l_delta 5 -n_middle 32 -n_delta 17,41d39e184a1e034863dcb8270c557910
1,inst-407-123,model,0,0,7.326,0,0,11.0504,0,149914,yes,../wrapper.py 407 407 123 random -k_middle 7 -k_delta 16 -l_middle 3 -l_delta 19 -n_middle 34 -n_delta 6,479ee1377ab624cb9031e00cace64147
1,inst-463-123,model,0,0,7.557,0,0,38.5661,0,535576,yes,../wrapper.py 463 463 123 random -k_middle 23 -k_delta 10 -l_middle 28 -l_delta 21 -n_middle 39 -n_delta 1,10612d1ebf14d031986b467406008a75
1,inst-518-123,model,0,0,8.241,0,0,89.9445,0,1134429,yes,../wrapper.py 518 518 123 random -k_middle 12 -k_delta 17 -l_middle 8 -l_delta 13 -n_middle 42 -n_delta 3,3daa6eeef2a191a8f92a690afb454c44
1,inst-520-123,model,0,0,8.458,0,0,34.0604,0,341687,yes,../wrapper.py 520 520 123 random -k_middle 7 -k_delta 24 -l_middle 8 -l_delta 23 -n_middle 36 -n_delta 14,d5688f15e212a3edcbb054c537c0411c
1,inst-539-123,model,0,0,6.965,0,0,34.4534,0,590683,yes,../wrapper.py 539 539 123 random -k_middle 15 -k_delta 14 -l_middle 3 -l_delta 8 -n_middle 25 -n_delta 13,eb285e6e2de874884b05a6cd4b355e8e
1,inst-545-123,model,0,0,3.675,0,0,14.9317,0,563635,yes,../wrapper.py 545 545 123 random -k_middle 5 -k_delta 24 -l_middle 44 -l_delta 7 -n_middle 22 -n_delta 8,071550b292bb6b3040d90130e6a19c18
1,inst-553-123,model,0,0,7.189,0,0,31.4883,0,588131,yes,../wrapper.py 553 553 123 random -k_middle 11 -k_delta 21 -l_middle 26 -l_delta 6 -n_middle 41 -n_delta 1,a18df420be647d21aa2d90785ef6946e
1,inst-560-123,model,0,0,8.599,0,0,63.9271,0,851170,yes,../wrapper.py 560 560 123 random -k_middle 16 -k_delta 15 -l_middle 16 -l_delta 16 -n_middle 46 -n_delta 14,c2c4ccc875ab10344587b1e76b26985b
1,inst-573-123,model,0,0,9.3,0,0,33.581,0,340494,yes,../wrapper.py 573 573 123 random -k_middle 18 -k_delta 15 -l_middle 9 -l_delta 6 -n_middle 48 -n_delta 24,01e8c7ac8c77ac6368f0f25d2010e4fd
1,inst-575-123,model,0,0,6.797,0,0,35.8148,0,331686,yes,../wrapper.py 575 575 123 random -k_middle 18 -k_delta 2 -l_middle 7 -l_delta 9 -n_middle 31 -n_delta 5,472d7844a9b4d40fc6b74202f5dc6de1
1,inst-583-123,model,0,0,7.877,0,0,20.5523,0,345031,yes,../wrapper.py 583 583 123 random -k_middle 6 -k_delta 21 -l_middle 18 -l_delta 19 -n_middle 46 -n_delta 15,e9f0a3831c8b028e96d577ab6c1d855d
1,inst-585-123,model,0,0,10.303,0,0,44.6041,0,403196,yes,../wrapper.py 585 585 123 random -k_middle 23 -k_delta 14 -l_middle 7 -l_delta 0 -n_middle 34 -n_delta 20,da63505abfe19b878d59e93a5cd4d745
1,inst-59-123,model,0,0,6.234,0,0,162.521,0,4883108,yes,../wrapper.py 59 59 123 random -k_middle 12 -k_delta 15 -l_middle 7 -l_delta 24 -n_middle 26 -n_delta 4,edd5f17d54bb6a6c367657619d7e83f9
1,inst-622-123,model,0,0,6.981,0,0,297.907,0,5500130,yes,../wrapper.py 622 622 123 random -k_middle 22 -k_delta 3 -l_middle 23 -l_delta 4 -n_middle 43 -n_delta 17,23839997a47f01d50b4d06c950ef8892
1,inst-628-123,model,0,0,3.605,0,0,12.4665,0,487928,yes,../wrapper.py 628 628 123 random -k_middle 3 -k_delta 23 -l_middle 39 -l_delta 21 -n_middle 11 -n_delta 24,abc01a7b9a3ecc60e8b56ac09f35bd14
1,inst-644-123,model,0,0,8.276,0,0,10.5152,0,150227,yes,../wrapper.py 644 644 123 random -k_middle 11 -k_delta 19 -l_middle 22 -l_delta 13 -n_middle 45 -n_delta 18,1f2f1278d55e8841ef33ad49cdd7f6d6
1,inst-646-123,model,0,0,7.995,0,0,12.4148,0,102670,yes,../wrapper.py 646 646 123 random -k_middle 5 -k_delta 20 -l_middle 14 -l_delta 8 -n_middle 45 -n_delta 4,40454312615de8952df869f0a36d9b47
1,inst-647-123,model,0,0,7.182,0,0,54.2937,0,482447,yes,../wrapper.py 647 647 123 random -k_middle 1 -k_delta 17 -l_middle 2 -l_delta 20 -n_middle 46 -n_delta 4,4b45113fd0ab80d3b77f7a02d3a6594f
1,inst-648-123,model,0,0,4.306,0,0,14.9307,0,563635,yes,../wrapper.py 648 648 123 random -k_middle 11 -k_delta 19 -l_middle 45 -l_delta 6 -n_middle 22 -n_delta 9,f31bafa5baca9ad4118233ecf44ee285
1,inst-72-123,model,0,0,9.237,0,0,13.6824,0,97420,yes,../wrapper.py 72 72 123 random -k_middle 16 -k_delta 9 -l_middle 9 -l_delta 21 -n_middle 48 -n_delta 14,bfd1ab90d8358786c7729e3bba961db3
1,inst-720-123,model,0,0,7.366,0,0,13.3813,0,232409,yes,../wrapper.py 720 720 123 random -k_middle 6 -k_delta 20 -l_middle 19 -l_delta 15 -n_middle 39 -n_delta 6,d077c4a4e79067cb137d470486e15948
1,inst-726-123,model,0,0,5.726,0,0,149.549,0,4122133,yes,../wrapper.py 726 726 123 random -k_middle 16 -k_delta 11 -l_middle 22 -l_delta 24 -n_middle 31 -n_delta 7,c1f992da25cd7ce8998fbb0d22f89f78
1,inst-740-123,model,0,0,6.309,0,0,248.094,0,6032525,yes,../wrapper.py 740 740 123 random -k_middle 6 -k_delta 17 -l_middle 23 -l_delta 0 -n_middle 46 -n_delta 19,28cd00ddc91f681f44561215a061df52
1,inst-755-123,model,0,0,6.806,0,0,40.0511,0,1069963,yes,../wrapper.py 755 755 123 random -k_middle 11 -k_delta 3 -l_middle 8 -l_delta 22 -n_middle 34 -n_delta 11,4abf5a38af5e899ff9f2f2ee17744f65
1,inst-768-123,model,0,0,7.124,0,0,143.674,0,2641554,yes,../wrapper.py 768 768 123 random -k_middle 22 -k_delta 5 -l_middle 26 -l_delta 1 -n_middle 33 -n_delta 18,6dbd6cda6ab86cbbffca0d38171b4e27
1,inst-779-123,model,0,0,5.773,0,0,11.0932,0,257971,yes,../wrapper.py 779 779 123 random -k_middle 15 -k_delta 15 -l_middle 25 -l_delta 14 -n_middle 31 -n_delta 2,fe98fd1a48b120c67fefcd382eb2b16c
1,inst-784-123,model,0,0,7.811,0,0,35.7983,0,326332,yes,../wrapper.py 784 784 123 random -k_middle 8 -k_delta 13 -l_middle 2 -l_delta 20 -n_middle 42 -n_delta 5,63660d62431b6e592da1d2e95e22f9c5
1,inst-789-123,model,0,0,7.38,0,0,34.9189,0,478750,yes,../wrapper.py 789 789 123 random -k_middle 8 -k_delta 22 -l_middle 28 -l_delta 22 -n_middle 50 -n_delta 13,ec5ac584aa21a7a396f67dccb684de4e
1,inst-79-123,model,0,0,7.575,0,0,267.483,0,4655421,yes,../wrapper.py 79 79 123 random -k_middle 15 -k_delta 20 -l_middle 5 -l_delta 20 -n_middle 22 -n_delta 18,c0e7e1f736a3293072d01fa586a92053
1,inst-791-123,model,0,0,6.231,0,0,21.6486,0,435598,yes,../wrapper.py 791 791 123 random -k_middle 16 -k_delta 11 -l_middle 12 -l_delta 17 -n_middle 21 -n_delta 17,a05fafdb60b24ddc3180c73a12355ea8
1,inst-798-123,model,0,0,4.282,0,0,25.8869,0,723879,yes,../wrapper.py 798 798 123 random -k_middle 11 -k_delta 11 -l_middle 39 -l_delta 6 -n_middle 36 -n_delta 19,738d1ac0285c87ea662cd3729b2799f6
1,inst-799-123,model,0,0,9.648,0,0,79.3981,0,521457,yes,../wrapper.py 799 799 123 random -k_middle 20 -k_delta 7 -l_middle 6 -l_delta 11 -n_middle 37 -n_delta 12,111dc8e506b2cb19e2aa20fd60157ccd
1,inst-82-123,model,0,0,7.616,0,0,131.533,0,2439630,yes,../wrapper.py 82 82 123 random -k_middle 7 -k_delta 16 -l_middle 22 -l_delta 20 -n_middle 49 -n_delta 1,673674192907ee5cb6b1c88ac4c00fc7
1,inst-840-123,model,0,0,5.017,0,0,115.951,0,2449101,yes,../wrapper.py 840 840 123 random -k_middle 13 -k_delta 21 -l_middle 40 -l_delta 0 -n_middle 38 -n_delta 22,72862f0a4c5dc4b7e904544b93742abb
1,inst-85-123,model,0,0,7.176,0,0,69.6381,0,1207166,yes,../wrapper.py 85 85 123 random -k_middle 19 -k_delta 4 -l_middle 27 -l_delta 12 -n_middle 48 -n_delta 8,f9c913cdfa8ba679e014bfcb48a301a3
1,inst-859-123,model,0,0,3.057,0,0,119.533,0,5865001,yes,../wrapper.py 859 859 123 random -k_middle 15 -k_delta 7 -l_middle 41 -l_delta 2 -n_middle 14 -n_delta 10,663dc1f4752a06f8ca7e61d0bb46ecd1
1,inst-872-123,model,0,0,6.95,0,0,25.5569,0,452455,yes,../wrapper.py 872 872 123 random -k_middle 10 -k_delta 20 -l_middle 30 -l_delta 6 -n_middle 41 -n_delta 15,9351091735d290bcb1fe757f08bd43a3
1,inst-883-123,model,0,0,7.286,0,0,52.4246,0,972728,yes,../wrapper.py 883 883 123 random -k_middle 23 -k_delta 4 -l_middle 9 -l_delta 24 -n_middle 27 -n_delta 13,768b3d0c8f0ec31852fccb5230e79b6f
1,inst-895-123,model,0,0,9.12,0,0,88.2036,0,1103497,yes,../wrapper.py 895 895 123 random -k_middle 16 -k_delta 19 -l_middle 7 -l_delta 21 -n_middle 42 -n_delta 21,3399c168d1a24001d9dc94adeb5c250e
1,inst-9-123,model,0,0,9.681,0,0,69.5885,0,723229,yes,../wrapper.py 9 9 123 random -k_middle 14 -k_delta 21 -l_middle 3 -l_delta 11 -n_middle 40 -n_delta 3,ee8ba8dd99cd62eef94483f68a7713ef
1,inst-92-123,model,0,0,3.184,0,0,32.3867,0,1492779,yes,../wrapper.py 92 92 123 random -k_middle 5 -k_delta 21 -l_middle 41 -l_delta 9 -n_middle 17 -n_delta 5,fdb2fc8982478f3f91f727673df4cca8
1,inst-929-123,model,0,0,5.739,0,0,18.1447,0,361535,yes,../wrapper.py 929 929 123 random -k_middle 12 -k_delta 17 -l_middle 50 -l_delta 20 -n_middle 35 -n_delta 13,a5912f79a5b26396a3b10960610c5df5
1,inst-930-123,model,0,0,6.266,0,0,59.1399,0,1196241,yes,../wrapper.py 930 930 123 random -k_middle 10 -k_delta 24 -l_middle 42 -l_delta 24 -n_middle 27 -n_delta 18,b73189210155fb40e948ad0ce57adaa7
1,inst-936-123,model,0,0,6.771,0,0,22.5673,0,348979,yes,../wrapper.py 936 936 123 random -k_middle 18 -k_delta 16 -l_middle 20 -l_delta 3 -n_middle 40 -n_delta 21,ef292cfb3486aae3358e31432fce0da7
1,inst-940-123,model,0,0,9.572,0,0,38.2586,0,354400,yes,../wrapper.py 940 940 123 random -k_middle 21 -k_delta 7 -l_middle 8 -l_delta 19 -n_middle 43 -n_delta 4,c5e64c7f6145cac5bc14ccd6d6faff51
1,inst-943-123,model,0,0,5.458,0,0,79.2125,0,1717879,yes,../wrapper.py 943 943 123 random -k_middle 13 -k_delta 18 -l_middle 24 -l_delta 0 -n_middle 31 -n_delta 10,ea3f6c2add6e4eea1de88058865e720a
1,inst-979-123,model,0,0,9.351,0,0,197.65,0,1625821,yes,../wrapper.py 979 979 123 random -k_middle 20 -k_delta 10 -l_middle 2 -l_delta 11 -n_middle 35 -n_delta 20,76c113eb8cd1840211e1554e5f74df05
1,inst-993-123,model,0,0,6.881,0,0,43.415,0,725505,yes,../wrapper.py 993 993 123 random -k_middle 18 -k_delta 3 -l_middle 22 -l_delta 19 -n_middle 46 -n_delta 20,a4c4d887d2696f078abce9e260fadefe
1,inst-996-123,model,0,0,7.113,0,0,134.891,0,2462047,yes,../wrapper.py 996 996 123 random -k_middle 13 -k_delta 23 -l_middle 24 -l_delta 3 -n_middle 39 -n_delta 3,7b41aba2e36f4302865aa585d10a3292
